Fecha,Representante,CódigoProducto,Unidades,,,,
1/25/2020,Raquel Gómez,B00K15Q2B0,3,,,,
1/25/2020,Sagrario Silva,B01DZJFWNC,2,,,,
1/26/2020,Sagrario Silva,B00NQGP42Y,2,,,,
1/26/2020,Rodrigo Muñoz,B00K15Q2B0,2,,,,
1/26/2020,Ernesto Duarte,B00K15Q2B0,1,,,,
1/26/2020,Laura Morales,B018IZ0SWI,7,,,,
1/26/2020,Raquel Gómez,B01LQV1YHO,1,,,,
1/26/2020,Andrés Mejía,B01KBH547A,20,,,,
1/27/2020,Isabel Crespo,B018IZ0SWI,20,,,,
1/27/2020,Cinthia Bustamante,B01KBH547A,2,,,,
1/27/2020,Felicia Junquera,B00K15Q2B0,1,,,,
1/27/2020,Delia Jiménez,B00F3J4B5S,1,,,,
1/28/2020,Bernarda Perdomo,B00F3J4B5S,2,,,,
1/28/2020,Raquel Gómez,B00K15Q2B0,1,,,,
1/28/2020,Cecilia Manrique,B00F3J4B5S,3,,,,
1/29/2020,Laura Morales,B00NQGP42Y,1,,,,
1/29/2020,Rodrigo Muñoz,B00NQGP42Y,2,,,,
1/29/2020,Laura Morales,B00NQGP42Y,22,,,,
1/30/2020,Carla Méndez,B018IZ0SWI,3,,,,
1/30/2020,Iris Ugarte,B00K15Q2B0,1,,,,
1/30/2020,Bruna Hernández,B018IZ0SWI,3,,,,
1/31/2020,Eliseo Martínez,B018IZ0SWI,3,,,,
1/31/2020,Joana Mejía,B00NQGP42Y,2,,,,
1/31/2020,Casandra Fernández,B00K15Q2B0,2,,,,
1/31/2020,Guillermo Paredes,B00K15Q2B0,2,,,,
1/31/2020,Eliseo Martínez,B01KBH547A,1,,,,
1/31/2020,Joel Guerra,B018IZ0SWI,3,,,,
2/1/2020,Raquel Gómez,B00NQGP42Y,1,,,,
2/1/2020,Joel Guerra,B01DZJFWNC,2,,,,
2/1/2020,teodoro Jurado,B00F3J4B5S,3,,,,
2/1/2020,          Andrés Mejía,B015YCRYZM,3,,,,
2/1/2020,Dafne Rivas,B018IZ0SWI,1,,,,
2/1/2020,Maximiliano Ruiz,B00NQGP42Y,1,,,,
2/1/2020,Magdalena Linares,B00K15Q2B0,2,,,,
2/2/2020,Camila Fajardo,B018IZ0SWI,1,,,,
2/2/2020,Casandra Fernández,B00K15Q2B0,3,,,,
2/3/2020,Paulina Iglesias,B00NQGP42Y,1,,,,
2/3/2020,Joel Guerra,B01LQV1YHO,2,,,,
2/3/2020,Teodoro Jurado,B016381QZA,1,,,,
2/3/2020,Cinthia Bustamante,B01KBH547A,1,,,,
2/4/2020,Teodoro Jurado,B00F3J4B5S,3,,,,
2/4/2020,Rodrigo Muñoz,B01EYT1URO,2,,,,
2/4/2020,Maximiliano Ruiz,B015YCRYZM,1,,,,
2/5/2020,Roberto Rodríguez,B00F3J4B5S,3,,,,
2/5/2020,Beatriz Troncoso,B01LQV1YHO,2,,,,
2/5/2020,Rodrigo Muñoz,B016B7INC2,2,,,,
2/6/2020,Elvira Belmonte,B018IZ0SWI,3,,,,
2/6/2020,Bruna Hernández,B00J0O5J4Y,2,,,,
2/6/2020,Salvador Olivares,B018IZ0SWI,1,,,,
2/6/2020,Patricia Torres,B01EYT1URO,3,,,,
2/6/2020,Felicia Junquera,B01EYT1URO,1,,,,
2/6/2020,Eliseo Martínez,B01LQV1YHO,1,,,,
2/6/2020,Iris Ugarte,B01LQV1YHO,3,,,,
2/6/2020,Salvador Olivares,B01KBH547A,1,,,,
2/7/2020,Jaime Pastrana,B00K15Q2B0,1,,,,
2/7/2020,Arturo Franco,B018IZ0SWI,1,,,,
2/7/2020,Sagrario Silva,B01KBH547A,3,,,,
2/7/2020,Germán Herrera,B016381QZA,1,,,,
2/8/2020,Teodoro Jurado,B018IZ0SWI,1,,,,
2/8/2020,Eric Rivera,B01KBH547A,2,,,,
2/8/2020,Leonor Domínguez,B00J0O5J4Y,12,,,,
2/8/2020,Fernando Ruiz,B00NQGP42Y,1,,,,
2/8/2020,Lorena Gómez,B00J0O5J4Y,3,,,,
2/8/2020,Diana Rosas,B01KBH547A,2,,,,
2/8/2020,Raquel Gómez,B00NQGP42Y,4,,,,
2/9/2020,Jaime Pastrana,B015YCRYZM,2,,,,
2/9/2020,Diana Rosas,B01EYT1URO,13,,,,
2/9/2020,Linet Ramírez,B00NQGP42Y,2,,,,
2/9/2020,Camila Fajardo,B00K15Q2B0,2,,,,
2/9/2020,Rodrigo Muñoz,B018IZ0SWI,1,,,,
2/9/2020,Iris Ugarte,B00NQGP42Y,3,,,,
2/10/2020,Kenya Carrillo,B016B7INC2,3,,,,
2/10/2020,Rodrigo Muñoz,B015YCRYZM,2,,,,
2/11/2020,Arturo Franco,B01EYT1URO,3,,,,
2/11/2020,Magdalena Linares,B00F3J4B5S,2,,,,
2/11/2020,Joana Mejía,B00F3J4B5S,4,,,,
2/11/2020,Leonor Domínguez,B016381QZA,18,,,,
2/11/2020,Teresa Rivero,B01DZJFWNC,3,,,,
2/11/2020,Edgar Guerrero,B018IZ0SWI,3,,,,
2/11/2020,Germán Herrera,B00J0O5J4Y,1,,,,
2/11/2020,Guillermo Paredes,B01EYT1URO,3,,,,
2/11/2020,Ernesto Duarte,B01KBH547A,4,,,,
2/12/2020,Teodoro Jurado,B015YCRYZM,1,,,,
2/12/2020,Bruna Hernández,B018IZ0SWI,4,,,,
2/12/2020,Germán Herrera,B016B7INC2,1,,,,
2/13/2020,Edgar Guerrero,B01KBH547A,1,,,,
2/13/2020,Salvador Olivares,B00F3J4B5S,3,,,,
2/13/2020,Iris Ugarte,B01KBH547A,3,,,,
2/14/2020,Diana Rosas,B016381QZA,3,,,,
2/14/2020,Raquel Gómez,B015YCRYZM,1,,,,
2/14/2020,Roberto Rodríguez,B00F3J4B5S,1,,,,
2/14/2020,Edgar Guerrero,B00K15Q2B0,4,,,,
2/14/2020,Sagrario Silva,B00K15Q2B0,3,,,,
2/15/2020,Linet Ramírez,B016B7INC2,2,,,,
2/15/2020,Paulina Iglesias,B00NQGP42Y,3,,,,
2/15/2020,Carlos Romero,B01KBH547A,2,,,,
2/15/2020,Bárbara Peñalosa,B01DZJFWNC,2,,,,
2/15/2020,Sagrario Silva,B01EYT1URO,2,,,,
2/16/2020,Ernesto Duarte,B018IZ0SWI,2,,,,
2/16/2020,Lázaro Zepeda,B01DZJFWNC,3,,,,
2/16/2020,Jenny García,B01LQV1YHO,3,,,,
2/17/2020,Paulina Iglesias,B00F3J4B5S,18,,,,
2/17/2020,Elena Uriarte,B01KBH547A,2,,,,
2/17/2020,Agustín Reynoso,B00F3J4B5S,3,,,,
2/17/2020,Sergio Moreno,B01DZJFWNC,3,,,,
2/17/2020,Salvador Olivares,B00F3J4B5S,3,,,,
2/17/2020,Raquel Gómez,B00K15Q2B0,13,,,,
2/18/2020,Dafne Rivas,B016B7INC2,4,,,,
2/18/2020,Guillermo Paredes,B00F3J4B5S,4,,,,
2/19/2020,Casandra Fernández,B00J0O5J4Y,4,,,,
2/19/2020,Cinthia Bustamante,B00K15Q2B0,17,,,,
2/20/2020,Maximiliano Ruiz,B01KBH547A,2,,,,
2/20/2020,Sagrario Silva,B00NQGP42Y,3,,,,
2/20/2020,Rodrigo Muñoz,B00F3J4B5S,3,,,,
2/21/2020,Casandra Fernández,B01EYT1URO,1,,,,
2/21/2020,Salvador Olivares,B018IZ0SWI,2,,,,
2/21/2020,Joana Mejía,B01DZJFWNC,3,,,,
2/21/2020,Edgar Guerrero,B00K15Q2B0,1,,,,
2/21/2020,Concepción Luna,B016B7INC2,3,,,,
2/22/2020,Iris Ugarte,B01LQV1YHO,16,,,,
2/22/2020,Isabel Crespo,B01EYT1URO,3,,,,
2/22/2020,Maximiliano Ruiz,B01LQV1YHO,1,,,,
2/22/2020,Carlos Romero,B01LQV1YHO,13,,,,
2/23/2020,Tamara Márquez,B015YCRYZM,3,,,,
2/23/2020,Mariana Hinojosa,B00K15Q2B0,1,,,,
2/23/2020,Isabel Crespo,B00F3J4B5S,3,,,,
2/23/2020,Salvador Olivares,B016B7INC2,3,,,,
2/23/2020,Leonor Domínguez,B01KBH547A,4,,,,
2/24/2020,Bruna Hernández,B00NQGP42Y,1,,,,
2/24/2020,Salvador Olivares,B00NQGP42Y,1,,,,
2/24/2020,Felicia Junquera,B00F3J4B5S,3,,,,
2/24/2020,Eduardo Linares,B00K15Q2B0,2,,,,
2/24/2020,Cecilia Manrique,B016381QZA,3,,,,
2/24/2020,Roberto Rodríguez,B01EYT1URO,2,,,,
2/25/2020,Elvira Belmonte,B00NQGP42Y,3,,,,
2/26/2020,Eliseo Martínez,B01DZJFWNC,20,,,,
2/26/2020,Jaime Pastrana,B01LQV1YHO,1,,,,
2/26/2020,Sagrario Silva,B016B7INC2,2,,,,
2/26/2020,Rodrigo Muñoz,B01KBH547A,2,,,,
2/26/2020,Joana Mejía,B018IZ0SWI,3,,,,
2/26/2020,Dafne Rivas,B015YCRYZM,2,,,,
2/26/2020,Tamara Márquez,B018IZ0SWI,1,,,,
2/27/2020,Sergio Moreno,B01KBH547A,1,,,,
2/27/2020,Rodrigo Muñoz,B00NQGP42Y,2,,,,
2/27/2020,Isabel Crespo,B01KBH547A,2,,,,
2/27/2020,Tamara Márquez,B015YCRYZM,3,,,,
2/27/2020,Rodrigo Muñoz,B00J0O5J4Y,2,,,,
2/27/2020,Andrés Mejía,B01KBH547A,2,,,,
2/28/2020,Diana Rosas,B01KBH547A,2,,,,
2/28/2020,Jaime Pastrana,B018IZ0SWI,2,,,,
2/28/2020,Kenya Carrillo,B00F3J4B5S,3,,,,
2/28/2020,Rodrigo Muñoz,B016381QZA,24,,,,
2/28/2020,Teodoro Jurado,B01LQV1YHO,1,,,,
2/28/2020,Joana Mejía,B00J0O5J4Y,2,,,,
3/1/2020,Jenny García,B016381QZA,24,,,,
3/1/2020,Bruna Hernández,B018IZ0SWI,1,,,,
3/1/2020,Salvador Olivares,B016381QZA,2,,,,
3/1/2020,Kenya Carrillo,B016381QZA,1,,,,
3/1/2020,Delia Jiménez,B01LQV1YHO,1,,,,
3/2/2020,Bárbara Peñalosa,B00F3J4B5S,1,,,,
3/2/2020,Maité Gordillo,B00NQGP42Y,3,,,,
3/3/2020,Eric Rivera,B00NQGP42Y,2,,,,
3/3/2020,Sonia Mujíca,B00F3J4B5S,2,,,,
3/3/2020,Emanuel Escalante,B01EYT1URO,2,,,,
3/3/2020,Elvira Belmonte,B018IZ0SWI,4,,,,
3/3/2020,Jaime Pastrana,B00K15Q2B0,3,,,,
3/3/2020,Iris Ugarte,B015YCRYZM,1,,,,
3/3/2020,Rodrigo Muñoz,B018IZ0SWI,2,,,,
3/4/2020,Iris Ugarte,B018IZ0SWI,2,,,,
3/4/2020,Raquel Gómez,B00F3J4B5S,2,,,,
3/4/2020,Elvira Belmonte,B018IZ0SWI,2,,,,
3/4/2020,Claudia Olmedo,B00F3J4B5S,1,,,,
3/4/2020,Cristina Fábregas,B00K15Q2B0,10,,,,
3/4/2020,Salvador Olivares,B016B7INC2,1,,,,
3/4/2020,Lorena Gómez,B00K15Q2B0,3,,,,
3/5/2020,Domingo González,B018IZ0SWI,2,,,,
3/5/2020,Maximiliano Ruiz,B018IZ0SWI,3,,,,
3/5/2020,Carlos Romero,B01KBH547A,3,,,,
3/5/2020,Bruno Puente,B01LQV1YHO,3,,,,
3/6/2020,Guillermo Chávez,B016B7INC2,21,,,,
3/6/2020,Laura Morales,B015YCRYZM,2,,,,
3/6/2020,Isabel Crespo,B00J0O5J4Y,7,,,,
3/6/2020,Mariana Hinojosa,B01EYT1URO,2,,,,
3/6/2020,Bruna Hernández,B01KBH547A,3,,,,
3/7/2020,Iris Ugarte,B00K15Q2B0,2,,,,
3/7/2020,Raquel Gómez,B01DZJFWNC,2,,,,
3/7/2020,Raquel Gómez,B00F3J4B5S,16,,,,
3/8/2020,Joel Guerra,B01DZJFWNC,1,,,,
3/8/2020,Kenya Carrillo,B016381QZA,1,,,,
3/8/2020,Laura Morales,B016381QZA,4,,,,
3/8/2020,Nayeli Juárez,B00NQGP42Y,3,,,,
3/8/2020,Felicia Junquera,B00K15Q2B0,2,,,,
3/8/2020,Cristina Fábregas,B00K15Q2B0,9,,,,
3/9/2020,Iván Arriola,B00K15Q2B0,3,,,,
3/9/2020,Guillermo Chávez,B00F3J4B5S,2,,,,
3/9/2020,Elena Uriarte,B00NQGP42Y,3,,,,
3/9/2020,Silvestre Morales,B018IZ0SWI,2,,,,
3/9/2020,Casandra Fernández,B00NQGP42Y,2,,,,
3/9/2020,Andrés Mejía,B01EYT1URO,2,,,,
3/10/2020,Patricia Torres,B018IZ0SWI,11,,,,
3/10/2020,Beatriz Troncoso,B01EYT1URO,2,,,,
3/10/2020,Dafne Rivas,B016381QZA,3,,,,
3/10/2020,Isabel Crespo,B01KBH547A,1,,,,
3/10/2020,Cinthia Bustamante,B01EYT1URO,2,,,,
3/11/2020,Dafne Rivas,B00J0O5J4Y,1,,,,
3/11/2020,Rodrigo Muñoz,B015YCRYZM,3,,,,
3/11/2020,Bruna Hernández,B01KBH547A,2,,,,
3/11/2020,Delia Jiménez,B018IZ0SWI,1,,,,
3/11/2020,Bárbara Peñalosa,B016B7INC2,1,,,,
3/11/2020,Magdalena Linares,B01KBH547A,3,,,,
3/11/2020,Salvador Olivares,B01DZJFWNC,1,,,,
3/12/2020,Eliseo Martínez,B00F3J4B5S,3,,,,
3/12/2020,Fernando Ruiz,B00K15Q2B0,3,,,,
3/12/2020,Felicia Junquera,B018IZ0SWI,2,,,,
3/13/2020,Isabel Crespo,B00NQGP42Y,4,,,,
3/13/2020,Cecilia Manrique,B00K15Q2B0,2,,,,
3/13/2020,Diana Rosas,B016381QZA,2,,,,
3/14/2020,Linet Ramírez,B00F3J4B5S,1,,,,
3/14/2020,Iris Ugarte,B00F3J4B5S,3,,,,
3/14/2020,Isabel Crespo,B00J0O5J4Y,2,,,,
3/14/2020,Teodoro Jurado,B018IZ0SWI,2,,,,
3/15/2020,Camila Fajardo,B01KBH547A,8,,,,
3/15/2020,Leonor Domínguez,B018IZ0SWI,2,,,,
3/15/2020,Jenny García,B018IZ0SWI,4,,,,
3/16/2020,Eduardo Linares,B018IZ0SWI,1,,,,
3/16/2020,Nayeli Juárez,B018IZ0SWI,1,,,,
3/16/2020,Patricia Torres,B00K15Q2B0,1,,,,
3/16/2020,Eliseo Martínez,B01LQV1YHO,2,,,,
3/17/2020,Bruna Hernández,B01EYT1URO,1,,,,
3/17/2020,Rubén Núñez,B01KBH547A,2,,,,
3/17/2020,Bruna Hernández,B00K15Q2B0,1,,,,
3/17/2020,Claudia Olmedo,B018IZ0SWI,2,,,,
3/17/2020,Bruna Hernández,B00J0O5J4Y,3,,,,
3/17/2020,Raquel Gómez,B00F3J4B5S,2,,,,
3/18/2020,Rodrigo Muñoz,B00K15Q2B0,3,,,,
3/18/2020,Emanuel Escalante,B016B7INC2,1,,,,
3/18/2020,Andrés Mejía,B01KBH547A,1,,,,
3/18/2020,Teresa Rivero,B01EYT1URO,2,,,,
3/19/2020,Maité Gordillo,B00F3J4B5S,1,,,,
3/20/2020,Diana Rosas,B018IZ0SWI,1,,,,
3/20/2020,Sagrario Silva,B01LQV1YHO,2,,,,
3/20/2020,Agustín Reynoso,B01KBH547A,2,,,,
3/20/2020,Bernarda Perdomo,B00K15Q2B0,2,,,,
3/20/2020,Joana Mejía,B00J0O5J4Y,3,,,,
3/21/2020,Benjamín Pérez,B00NQGP42Y,1,,,,
3/21/2020,Eliseo Martínez,B01LQV1YHO,4,,,,
3/21/2020,Bruno Puente,B01DZJFWNC,13,,,,
3/21/2020,Domingo González,B01KBH547A,2,,,,
3/21/2020,Casandra Fernández,B016381QZA,1,,,,
3/21/2020,Silvestre Morales,B00F3J4B5S,2,,,,
3/21/2020,Delia Jiménez,B01KBH547A,1,,,,
3/21/2020,Pedro Huerta,B016381QZA,4,,,,
3/22/2020,Bernarda Perdomo,B015YCRYZM,1,,,,
3/22/2020,Joana Mejía,B00K15Q2B0,1,,,,
3/22/2020,Daniel Piedra,B01EYT1URO,3,,,,
3/22/2020,Lorena Gómez,B01KBH547A,3,,,,
3/23/2020,Bernarda Perdomo,B01LQV1YHO,2,,,,
3/23/2020,Agustín Reynoso,B00F3J4B5S,4,,,,
3/23/2020,Alan Ramos,B01KBH547A,2,,,,
3/23/2020,Eliseo Martínez,B00K15Q2B0,1,,,,
3/23/2020,Dafne Rivas,B00NQGP42Y,1,,,,
3/24/2020,Bruna Hernández,B018IZ0SWI,1,,,,
3/24/2020,Cinthia Bustamante,B01DZJFWNC,2,,,,
3/24/2020,Jaime Pastrana,B00NQGP42Y,3,,,,
3/24/2020,Patricia Torres,B00NQGP42Y,2,,,,
3/24/2020,Magdalena Linares,B00NQGP42Y,17,,,,
3/24/2020,Sonia Mujíca,B018IZ0SWI,3,,,,
3/25/2020,Cecilia Manrique,B018IZ0SWI,3,,,,
3/25/2020,Tamara Márquez,B01DZJFWNC,3,,,,
3/25/2020,Isabel Crespo,B00K15Q2B0,2,,,,
3/25/2020,Sergio Moreno,B00NQGP42Y,2,,,,
3/25/2020,Dafne Rivas,B00NQGP42Y,3,,,,
3/25/2020,Delia Jiménez,B01KBH547A,1,,,,
3/25/2020,Paulina Iglesias,B018IZ0SWI,2,,,,
3/26/2020,Paulina Iglesias,B00F3J4B5S,3,,,,
3/26/2020,Pedro Huerta,B018IZ0SWI,2,,,,
3/26/2020,Casandra Fernández,B01EYT1URO,13,,,,
3/26/2020,Fernando Ruiz,B00NQGP42Y,2,,,,
3/26/2020,Elvira Belmonte,B01DZJFWNC,3,,,,
3/27/2020,Casandra Fernández,B00NQGP42Y,2,,,,
3/27/2020,isabel Crespo,B018IZ0SWI,2,,,,
3/27/2020,Isabel Crespo,B01LQV1YHO,2,,,,
3/27/2020,Jenny García,B01KBH547A,2,,,,
3/28/2020,Dafne Rivas,B01KBH547A,20,,,,
3/28/2020,Salvador Olivares,B00F3J4B5S,2,,,,
3/28/2020,Carlos Romero,B00NQGP42Y,1,,,,
3/28/2020,Cinthia Bustamante,B00F3J4B5S,1,,,,
3/28/2020,Sandra Flores,B016381QZA,17,,,,
3/28/2020,Elvira Belmonte,B01KBH547A,1,,,,
3/28/2020,Casandra Fernández,B018IZ0SWI,3,,,,
3/28/2020,Rodrigo Muñoz,B01KBH547A,3,,,,
3/29/2020,Lorena Gómez,B018IZ0SWI,2,,,,
3/29/2020,Salvador Olivares,B00K15Q2B0,3,,,,
3/29/2020,Bruna Hernández,B01LQV1YHO,1,,,,
3/30/2020,Edgar Guerrero,B018IZ0SWI,3,,,,
3/30/2020,Raquel Gómez,B01KBH547A,3,,,,
3/30/2020,Dafne Rivas,B016381QZA,25,,,,
3/30/2020,Dafne Rivas,B01EYT1URO,2,,,,
3/31/2020,Cinthia Bustamante,B01EYT1URO,3,,,,
3/31/2020,Salvador Olivares,B01KBH547A,3,,,,
3/31/2020,Beatriz Troncoso,B018IZ0SWI,16,,,,
3/31/2020,Fernando Ruiz,B016381QZA,18,,,,
3/31/2020,Mariana Hinojosa,B01KBH547A,2,,,,
4/1/2020,Joel Guerra,B015YCRYZM,21,,,,
4/2/2020,Leonor Domínguez,B01EYT1URO,3,,,,
4/2/2020,Casandra Fernández,B018IZ0SWI,1,,,,
4/2/2020,Magdalena Linares,B01KBH547A,2,,,,
4/3/2020,Magdalena Linares,B00K15Q2B0,2,,,,
4/3/2020,Guillermo Chávez,B00NQGP42Y,1,,,,
4/4/2020,Bruna Hernández,B018IZ0SWI,23,,,,
4/4/2020,Isabel Crespo,B018IZ0SWI,1,,,,
4/4/2020,Domingo González,B01EYT1URO,1,,,,
4/5/2020,Jaime Pastrana,B018IZ0SWI,1,,,,
4/5/2020,Lázaro Zepeda,B00F3J4B5S,1,,,,
